    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
     115.80       0.438       0.468       0.307       0.145       0.116       0.192       1.653
     115.82       0.439       0.468       0.307       0.146       0.117       0.192       1.654
     116.75       0.445       0.475       0.311       0.148       0.119       0.193       1.677
     117.20       0.448       0.478       0.314       0.134       0.119       0.194       1.688
     118.10       0.454       0.485       0.318       0.141       0.121       0.196       1.710
     120.00       0.467       0.499       0.327       0.154       0.125       0.199       1.757
     120.40       0.470       0.501       0.329       0.157       0.125       0.200       1.767
     121.15       0.475       0.507       0.333       0.158       0.127       0.201       1.786
     121.79       0.480       0.512       0.336       0.160       0.128       0.202       1.801
     122.70       0.486       0.518       0.340       0.162       0.130       0.204       1.824
     123.50       0.492       0.524       0.344       0.164       0.131       0.205       1.843
     124.00       0.495       0.528       0.346       0.165       0.132       0.206       1.856
     125.00       0.504       0.538       0.353       0.168       0.134       0.207       1.887
     127.65       0.528       0.563       0.369       0.176       0.141       0.211       1.969
     129.87       0.547       0.584       0.383       0.182       0.146       0.214       2.038
     130.00       0.548       0.585       0.384       0.183       0.146       0.214       2.042
     130.30       0.551       0.588       0.386       0.184       0.147       0.214       2.052
     130.50       0.553       0.590       0.387       0.184       0.147       0.215       2.058
     131.02       0.558       0.595       0.390       0.186       0.149       0.215       2.074
     131.21       0.559       0.597       0.391       0.186       0.149       0.215       2.080
     135.00       0.578       0.633       0.415       0.198       0.158       0.219       2.196
     136.21       0.584       0.644       0.423       0.201       0.161       0.220       2.233
     136.28       0.584       0.645       0.423       0.201       0.161       0.220       2.235
     136.34       0.585       0.645       0.423       0.202       0.161       0.220       2.237
     136.45       0.586       0.646       0.424       0.202       0.162       0.220       2.240
     136.48       0.586       0.647       0.424       0.202       0.162       0.220       2.241
     137.80       0.597       0.659       0.433       0.206       0.165       0.221       2.281
     140.00       0.595       0.657       0.431       0.205       0.164       0.215       2.267
     141.20       0.594       0.655       0.430       0.205       0.164       0.212       2.260
     144.21       0.591       0.652       0.428       0.204       0.163       0.204       2.242
     144.27       0.591       0.654       0.428       0.204       0.163       0.204       2.242
     145.00       0.590       0.672       0.427       0.203       0.163       0.202       2.237
     145.04       0.590       0.671       0.427       0.203       0.163       0.202       2.237
     145.90       0.589       0.665       0.427       0.203       0.163       0.200       2.232
     148.38       0.587       0.647       0.425       0.202       0.162       0.194       2.217
     148.40       0.587       0.648       0.425       0.202       0.162       0.194       2.217
     150.00       0.585       0.665       0.424       0.202       0.161       0.189       2.207
     150.10       0.585       0.666       0.424       0.202       0.161       0.189       2.206
     152.15       0.583       0.663       0.422       0.201       0.161       0.184       2.194
     152.84       0.562       0.662       0.422       0.201       0.161       0.182       2.190
     154.18       0.561       0.661       0.421       0.200       0.160       0.179       2.182
     154.20       0.561       0.661       0.421       0.200       0.160       0.179       2.182
     155.00       0.560       0.660       0.420       0.200       0.160       0.177       2.177
     157.73       0.609       0.718       0.457       0.218       0.174       0.186       2.363
     158.37       0.621       0.732       0.488       0.222       0.177       0.189       2.407
     158.38       0.621       0.732       0.488       0.222       0.177       0.189       2.407
     159.94       0.650       0.765       0.510       0.232       0.186       0.193       2.513
     159.98       0.650       0.766       0.511       0.232       0.186       0.194       2.516
     160.00       0.651       0.767       0.511       0.232       0.186       0.194       2.517
     160.37       0.657       0.775       0.516       0.235       0.188       0.195       2.542
     164.13       0.725       0.855       0.570       0.259       0.207       0.205       2.796
     164.15       0.726       0.855       0.570       0.259       0.207       0.205       2.797
     165.00       0.741       0.874       0.582       0.265       0.212       0.207       2.854
     165.30       0.747       0.880       0.587       0.267       0.213       0.208       2.874
     167.50       0.786       0.927       0.618       0.281       0.225       0.212       3.021
     168.17       0.799       0.941       0.627       0.285       0.228       0.214       3.066
     168.55       0.805       0.949       0.633       0.288       0.230       0.214       3.091
     168.92       0.812       0.957       0.638       0.290       0.232       0.215       3.116
     169.70       0.826       0.974       0.649       0.295       0.236       0.216       3.168
     170.00       0.832       0.980       0.654       0.297       0.238       0.217       3.187
     171.06       0.851       1.003       0.669       0.304       0.243       0.219       3.258
     171.08       0.851       1.003       0.669       0.304       0.243       0.219       3.259
     172.12       0.870       1.026       0.684       0.311       0.249       0.220       3.328
     172.17       0.869       1.027       0.684       0.311       0.249       0.220       3.331
     172.92       0.853       1.043       0.695       0.316       0.253       0.221       3.381
     173.08       0.856       1.046       0.697       0.317       0.254       0.221       3.391
     173.10       0.856       1.046       0.698       0.317       0.254       0.221       3.393
     174.53       0.914       1.077       0.718       0.326       0.261       0.223       3.487
     174.58       0.912       1.078       0.719       0.327       0.261       0.223       3.490
     175.00       0.901       1.087       0.725       0.329       0.264       0.224       3.518
     175.24       0.894       1.092       0.728       0.331       0.265       0.224       3.533
     175.26       0.894       1.093       0.728       0.331       0.265       0.224       3.535
