    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
     842.00       3.280       0.000       0.000       0.000       0.000       0.000       3.280
     842.10       3.279       0.000       0.000       0.000       0.000       0.000       3.279
     842.50       3.275       0.000       0.000       0.000       0.000       0.000       3.275
     843.00       3.270       0.000       0.000       0.000       0.000       0.000       3.270
     843.50       3.265       0.000       0.000       0.000       0.000       0.000       3.265
     843.80       3.262       0.000       0.000       0.000       0.000       0.000       3.262
     844.00       3.260       0.000       0.000       0.000       0.000       0.000       3.260
     844.50       3.255       0.000       0.000       0.000       0.000       0.000       3.255
     844.60       3.254       0.000       0.000       0.000       0.000       0.000       3.254
     845.00       3.250       0.000       0.000       0.000       0.000       0.000       3.250
     845.50       3.245       0.000       0.000       0.000       0.000       0.000       3.245
     845.90       3.241       0.000       0.000       0.000       0.000       0.000       3.241
     846.00       3.240       0.000       0.000       0.000       0.000       0.000       3.240
     847.00       3.230       0.000       0.000       0.000       0.000       0.000       3.230
     847.60       3.224       0.000       0.000       0.000       0.000       0.000       3.224
     848.00       3.220       0.000       0.000       0.000       0.000       0.000       3.220
     848.50       3.215       0.000       0.000       0.000       0.000       0.000       3.215
     849.00       3.210       0.000       0.000       0.000       0.000       0.000       3.210
     849.20       3.208       0.000       0.000       0.000       0.000       0.000       3.208
     849.50       3.205       0.000       0.000       0.000       0.000       0.000       3.205
     850.00       3.200       0.000       0.000       0.000       0.000       0.000       3.200
     850.60       3.188       0.000       0.000       0.000       0.000       0.000       3.188
     851.00       3.180       0.000       0.000       0.000       0.000       0.000       3.180
     851.50       3.170       0.000       0.000       0.000       0.000       0.000       3.170
     851.80       3.164       0.000       0.000       0.000       0.000       0.000       3.164
     852.00       3.160       0.000       0.000       0.000       0.000       0.000       3.160
     852.19       3.156       0.000       0.000       0.000       0.000       0.000       3.156
     852.50       3.150       0.000       0.000       0.000       0.000       0.000       3.150
     853.00       3.140       0.000       0.000       0.000       0.000       0.000       3.140
     853.20       3.136       0.000       0.000       0.000       0.000       0.000       3.136
     853.50       3.130       0.000       0.000       0.000       0.000       0.000       3.130
     854.00       3.120       0.000       0.000       0.000       0.000       0.000       3.120
     854.50       3.110       0.000       0.000       0.000       0.000       0.000       3.110
     855.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     855.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     856.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     856.20       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     856.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     857.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     857.30       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     857.70       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     858.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     858.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     859.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     859.20       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     860.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     860.40       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     860.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     861.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     861.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     862.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     863.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     863.20       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     864.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     864.60       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     865.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     865.20       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     865.40       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     865.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     866.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     866.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     867.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     867.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     867.60       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     868.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     868.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     869.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     869.50       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     870.00       3.100       0.000       0.000       0.000       0.000       0.000       3.100
     870.80       3.768       0.000       0.000       0.000       0.000       0.000       3.768
     871.00       3.936       0.000       0.000       0.000       0.000       0.000       3.936
     871.40       4.270       0.000       0.000       0.000       0.000       0.000       4.270
     871.50       4.353       0.000       0.000       0.000       0.000       0.000       4.353
     872.00       4.771       0.000       0.000       0.000       0.000       0.000       4.771
     872.50       5.189       0.000       0.000       0.000       0.000       0.000       5.189
     873.00       5.607       0.000       0.000       0.000       0.000       0.000       5.607
     873.50       6.024       0.000       0.000       0.000       0.000       0.000       6.024
     874.00       6.442       0.000       0.000       0.000       0.000       0.000       6.442
     874.50       6.860       0.000       0.000       0.000       0.000       0.000       6.860
     875.00       7.278       0.000       0.000       0.000       0.000       0.000       7.278
     875.20       7.445       0.000       0.000       0.000       0.000       0.000       7.445
     875.50       7.695       0.000       0.000       0.000       0.000       0.000       7.695
     876.00       8.113       0.000       0.000       0.000       0.000       0.000       8.113
     876.20       8.280       0.000       0.000       0.000       0.000       0.000       8.280
     876.50       8.531       0.000       0.000       0.000       0.000       0.000       8.531
     877.00       8.949       0.000       0.000       0.000       0.000       0.000       8.949
     877.50       9.366       0.000       0.000       0.000       0.000       0.000       9.366
     877.60       9.450       0.000       0.000       0.000       0.000       0.000       9.450
     877.72      11.820       0.000       0.000       0.000       0.000       0.000      11.820
     877.80     210.350       0.000       0.000       0.000       0.000       0.000     210.350
     877.84      42.540       0.000       0.000       0.000       0.000       0.000      42.540
     877.88     241.080       0.000       0.000       0.000       0.000       0.000     241.080
     877.94      14.650       0.000       0.000       0.000       0.000       0.000      14.650
     878.00      10.400       0.000       0.000       0.000       0.000       0.000      10.400
     878.02      52.470       0.000       0.000       0.000       0.000       0.000      52.470
     878.07      69.960       0.000       0.000       0.000       0.000       0.000      69.960
     878.09      16.540       0.000       0.000       0.000       0.000       0.000      16.540
     878.10      20.285       0.000       0.000       0.000       0.000       0.000      20.285
     878.19      53.420       0.000       0.000       0.000       0.000       0.000      53.420
     878.50      34.882       0.000       0.000       0.000       0.000       0.000      34.882
     878.92       9.930       0.000       0.000       0.000       0.000       0.000       9.930
     878.96      55.780       0.000       0.000       0.000       0.000       0.000      55.780
     879.00      47.276       0.000       0.000       0.000       0.000       0.000      47.276
     879.20       4.730       0.000       0.000       0.000       0.000       0.000       4.730
     879.50       6.812       0.000       0.000       0.000       0.000       0.000       6.812
     879.54       7.090       0.000       0.000       0.000       0.000       0.000       7.090
     879.60      63.810       0.000       0.000       0.000       0.000       0.000      63.810
     879.63      19.850       0.000       0.000       0.000       0.000       0.000      19.850
     879.80       5.200       0.000       0.000       0.000       0.000       0.000       5.200
     880.00       5.110       0.000       0.000       0.000       0.000       0.000       5.110
     880.50       4.884       0.000       0.000       0.000       0.000       0.000       4.884
     881.00       4.658       0.000       0.000       0.000       0.000       0.000       4.658
     881.50       4.432       0.000       0.000       0.000       0.000       0.000       4.432
     882.00       4.206       0.000       0.000       0.000       0.000       0.000       4.206
     882.50       3.980       0.000       0.000       0.000       0.000       0.000       3.980
     882.70       3.889       0.000       0.000       0.000       0.000       0.000       3.889
     883.00       3.754       0.000       0.000       0.000       0.000       0.000       3.754
     883.30       3.618       0.000       0.000       0.000       0.000       0.000       3.618
     883.50       3.528       0.000       0.000       0.000       0.000       0.000       3.528
     884.00       3.302       0.000       0.000       0.000       0.000       0.000       3.302
     884.50       3.076       0.000       0.000       0.000       0.000       0.000       3.076
     885.00       2.850       0.000       0.000       0.000       0.000       0.000       2.850
     885.50       2.835       0.000       0.000       0.000       0.000       0.000       2.835
     885.80       2.826       0.000       0.000       0.000       0.000       0.000       2.826
     886.00       2.820       0.000       0.000       0.000       0.000       0.000       2.820
     886.50       2.805       0.000       0.000       0.000       0.000       0.000       2.805
     886.90       2.793       0.000       0.000       0.000       0.000       0.000       2.793
     887.00       2.790       0.000       0.000       0.000       0.000       0.000       2.790
     887.50       2.775       0.000       0.000       0.000       0.000       0.000       2.775
     888.00       2.760       0.000       0.000       0.000       0.000       0.000       2.760
     888.50       2.745       0.000       0.000       0.000       0.000       0.000       2.745
     889.00       2.730       0.000       0.000       0.000       0.000       0.000       2.730
     889.10       2.727       0.000       0.000       0.000       0.000       0.000       2.727
     889.50       2.715       0.000       0.000       0.000       0.000       0.000       2.715
     890.00       2.700       0.000       0.000       0.000       0.000       0.000       2.700
     890.50       2.705       0.000       0.000       0.000       0.000       0.000       2.705
     891.00       2.710       0.000       0.000       0.000       0.000       0.000       2.710
     891.10       2.711       0.000       0.000       0.000       0.000       0.000       2.711
     891.50       2.715       0.000       0.000       0.000       0.000       0.000       2.715
     892.00       2.720       0.000       0.000       0.000       0.000       0.000       2.720
     892.50       2.725       0.000       0.000       0.000       0.000       0.000       2.725
     893.00       2.730       0.000       0.000       0.000       0.000       0.000       2.730
     893.10       2.731       0.000       0.000       0.000       0.000       0.000       2.731
     893.50       2.735       0.000       0.000       0.000       0.000       0.000       2.735
     894.00       2.740       0.000       0.000       0.000       0.000       0.000       2.740
     894.50       2.745       0.000       0.000       0.000       0.000       0.000       2.745
     894.70       2.747       0.000       0.000       0.000       0.000       0.000       2.747
     895.00       2.750       0.000       0.000       0.000       0.000       0.000       2.750
     895.50       2.760       0.000       0.000       0.000       0.000       0.000       2.760
     895.80       2.766       0.000       0.000       0.000       0.000       0.000       2.766
     896.00       2.770       0.000       0.000       0.000       0.000       0.000       2.770
     896.50       2.780       0.000       0.000       0.000       0.000       0.000       2.780
     897.00       2.790       0.000       0.000       0.000       0.000       0.000       2.790
     897.20       2.794       0.000       0.000       0.000       0.000       0.000       2.794
     897.30       2.796       0.000       0.000       0.000       0.000       0.000       2.796
     897.50       2.800       0.000       0.000       0.000       0.000       0.000       2.800
     898.00       2.810       0.000       0.000       0.000       0.000       0.000       2.810
     898.50       2.820       0.000       0.000       0.000       0.000       0.000       2.820
     898.70       2.824       0.000       0.000       0.000       0.000       0.000       2.824
     899.00       2.830       0.000       0.000       0.000       0.000       0.000       2.830
     899.50       2.840       0.000       0.000       0.000       0.000       0.000       2.840
     900.00       2.850       0.000       0.000       0.000       0.000       0.000       2.850
     900.20       2.846       0.000       0.000       0.000       0.000       0.000       2.846
     900.50       2.840       0.000       0.000       0.000       0.000       0.000       2.840
     901.00       2.830       0.000       0.000       0.000       0.000       0.000       2.830
     901.10       2.828       0.000       0.000       0.000       0.000       0.000       2.828
     901.30       2.824       0.000       0.000       0.000       0.000       0.000       2.824
     901.50       2.820       0.000       0.000       0.000       0.000       0.000       2.820
     902.00       2.810       0.000       0.000       0.000       0.000       0.000       2.810
     903.00       2.790       0.000       0.000       0.000       0.000       0.000       2.790
     903.50       2.780       0.000       0.000       0.000       0.000       0.000       2.780
     903.80       2.774       0.000       0.000       0.000       0.000       0.000       2.774
     904.00       2.770       0.000       0.000       0.000       0.000       0.000       2.770
     904.10       2.768       0.000       0.000       0.000       0.000       0.000       2.768
     904.50       2.760       0.000       0.000       0.000       0.000       0.000       2.760
     905.00       2.750       0.000       0.000       0.000       0.000       0.000       2.750
     905.50       2.750       0.000       0.000       0.000       0.000       0.000       2.750
     906.00       2.750       0.000       0.000       0.000       0.000       0.000       2.750
     906.40       2.750       0.000       0.000       0.000       0.000       0.000       2.750
     906.50       2.750       0.000       0.000       0.000       0.000       0.000       2.750
     907.00       2.750       0.000       0.000       0.000       0.000       0.000       2.750
     907.40       2.750       0.000       0.000       0.000       0.000       0.000       2.750
     907.50       2.750       0.000       0.000       0.000       0.000       0.000       2.750
     908.00       2.685       0.000       0.000       0.000       0.000       0.000       2.685
     908.50       2.620       0.000       0.000       0.000       0.000       0.000       2.620
     909.00       2.554       0.000       0.000       0.000       0.000       0.000       2.554
     909.50       2.489       0.000       0.000       0.000       0.000       0.000       2.489
     909.60       2.476       0.000       0.000       0.000       0.000       0.000       2.476
     909.80       2.450       0.000       0.000       0.000       0.000       0.000       2.450
     910.00       1.150       0.000       0.000       0.000       0.000       0.000       1.150
     910.40       0.750       0.000       0.000       0.000       0.000       0.000       0.750
     910.44       0.710       0.000       0.000       0.000       0.000       0.000       0.710
     910.50       0.687       0.000       0.000       0.000       0.000       0.000       0.687
     910.60       0.648       0.000       0.000       0.000       0.000       0.000       0.648
     911.00       0.494       0.000       0.000       0.000       0.000       0.000       0.494
     911.50       0.300       0.000       0.000       0.000       0.000       0.000       0.300
     911.76       0.200       0.000       0.000       0.000       0.000       0.000       0.200
     912.00       0.140       0.000       0.000       0.000       0.000       0.000       0.140
     912.32       0.060       0.000       0.000       0.000       0.000       0.000       0.060
     912.50       0.044       0.000       0.000       0.000       0.000       0.000       0.044
     912.60       0.035       0.000       0.000       0.000       0.000       0.000       0.035
     913.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     913.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     913.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     914.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     914.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     914.70       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     915.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     915.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     915.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     916.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     916.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     917.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     917.20       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     917.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     918.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     918.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     918.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     919.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     919.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     919.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     920.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     920.10       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     920.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     920.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     920.96       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     921.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     921.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     922.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     922.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     922.80       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     923.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     923.10       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     923.15       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     923.20       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     923.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     923.70       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     924.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     924.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     924.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     925.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     925.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     926.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     926.20       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     926.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     926.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     927.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     927.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     928.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     928.10       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     928.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     929.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     929.10       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     930.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     930.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     930.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     930.75       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     931.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     931.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     931.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     932.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     932.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     932.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     933.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     933.38       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     933.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     934.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     934.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     935.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     935.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     935.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     935.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     936.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     936.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     937.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     937.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     937.80       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     937.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     938.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     938.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     938.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     939.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     939.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     939.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     940.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     940.10       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     940.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     941.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     941.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     942.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     942.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     942.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     943.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     943.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     943.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     944.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     944.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     944.52       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     944.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     945.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     946.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     947.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     947.70       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     948.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     948.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     949.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     949.10       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     949.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     949.74       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     950.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     950.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     950.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     951.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     952.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     953.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     954.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     955.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     955.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     956.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     956.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     956.70       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     957.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     957.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     958.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     958.20       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     958.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     958.80       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     959.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     959.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     960.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     960.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     961.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     961.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     961.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     962.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     962.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     962.80       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     963.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     964.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     965.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     965.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     965.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     966.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     966.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     967.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     967.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     968.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     969.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     969.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     970.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     970.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     970.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     971.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     971.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     972.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     972.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     972.54       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     972.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     973.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     973.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     974.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     974.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     975.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     975.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     975.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     976.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     976.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     977.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     977.02       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     977.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     978.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     978.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     979.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     979.10       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     979.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     980.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     980.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     981.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     981.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     982.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     982.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     983.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     983.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     983.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     984.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     984.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     985.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     985.20       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     985.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     985.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     986.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     986.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     987.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     988.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     988.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     989.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     989.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     989.79       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     989.80       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     990.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     991.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     991.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     991.55       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     992.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     992.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     993.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     993.20       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     993.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     994.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     995.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     996.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     997.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     997.20       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     998.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
     999.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1000.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1001.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1002.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1003.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1004.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1004.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1004.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
