Photoabsorption and Partial Photoionization Cross Sections for Molecular Oxygen
   LAM     ABS    ION   FRAG    O2+    X      a+A     b       B   2pi+c  2sig   33 eV  2,4sig  K
  981.01 10.384  7.064  0.000  7.064  7.064  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  982.01 26.002 17.631  0.000 17.631 17.631  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  983.01 41.619 28.197  0.000 28.197 28.197  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  984.01 30.711 20.970  0.000 20.970 20.970  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  985.01  8.969  6.476  0.000  6.476  6.476  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  986.01  7.209  5.064  0.000  5.064  5.064  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  987.01  5.083  3.735  0.000  3.735  3.735  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  988.01  3.015  2.460  0.000  2.460  2.460  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  989.01  3.285  2.999  0.000  2.999  2.999  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  989.79  2.753  2.385  0.000  2.385  2.385  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  990.01  4.217  3.638  0.000  3.638  3.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  991.01 10.871  9.333  0.000  9.333  9.333  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  991.55 14.463 12.408  0.000 12.408 12.408  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  992.01 17.524 15.028  0.000 15.028 15.028  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  993.01 22.764 19.415  0.000 19.415 19.415  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  994.01 21.377 18.143  0.000 18.143 18.143  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  995.01 15.131 12.852  0.000 12.852 12.852  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  996.01  8.885  7.561  0.000  7.561  7.561  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  997.01  2.638  2.271  0.000  2.271  2.271  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  998.01  1.462  1.265  0.000  1.265  1.265  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  999.01  1.475  1.265  0.000  1.265  1.265  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1000.01  1.501  1.275  0.000  1.275  1.275  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1001.01  2.710  2.261  0.000  2.261  2.261  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1002.01  3.920  3.248  0.000  3.248  3.248  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1003.01  5.129  4.234  0.000  4.234  4.234  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1004.01  6.302  5.185  0.000  5.185  5.185  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1005.01  5.404  4.461  0.000  4.461  4.461  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1006.01  3.154  2.634  0.000  2.634  2.634  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1007.01  1.462  1.260  0.000  1.260  1.260  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1008.01  1.786  1.517  0.000  1.517  1.517  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1009.01  1.445  1.208  0.000  1.208  1.208  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1010.01  1.458  1.200  0.000  1.200  1.200  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1010.20  1.437  1.179  0.000  1.179  1.179  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1011.01  1.346  1.090  0.000  1.090  1.090  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1012.01  1.151  0.917  0.000  0.917  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1013.01  1.233  0.964  0.000  0.964  0.964  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1014.01  1.153  0.886  0.000  0.886  0.886  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1015.01  1.486  1.119  0.000  1.119  1.119  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1016.01  1.196  0.888  0.000  0.888  0.888  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1017.01  1.270  0.926  0.000  0.926  0.926  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1018.01  1.202  0.860  0.000  0.860  0.860  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1019.01  1.197  0.840  0.000  0.840  0.840  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1020.01  1.278  0.882  0.000  0.882  0.882  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1021.01  1.392  0.941  0.000  0.941  0.941  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1022.01  1.466  0.973  0.000  0.973  0.973  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1023.01  1.643  1.066  0.000  1.066  1.066  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1024.01  1.426  0.911  0.000  0.911  0.911  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1025.01  1.463  0.909  0.000  0.909  0.909  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1025.72  1.630  0.997  0.000  0.997  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1026.01  1.518  0.880  0.000  0.880  0.880  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1027.01  1.130  0.478  0.000  0.478  0.478  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1028.01  0.743  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1029.01  1.574  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1030.01  1.047  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1031.01  1.485  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1031.91  1.150  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1032.01  1.113  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1033.01  1.071  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1034.01  1.140  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1035.01  1.595  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1036.01  0.874  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1036.34  0.636  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1037.01  0.858  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1037.02  0.849  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1037.61  1.299  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1038.01  1.883  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1039.01  1.085  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1040.01  1.466  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1041.01  0.940  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1042.01  1.164  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1043.01  0.582  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1044.01  0.278  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1045.01  1.019  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1046.01  1.760  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1047.01  2.501  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1048.01  1.548  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1049.01  2.182  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 1050.01  0.722  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
