Fennally et al cross sections at Hinteregger wavelengths.
     WVLN         O Ion        O2 Ion       O2 Abs       N2 Ion       N2 Abs  
   114.0900       1.6110       2.9530       2.9530       1.7270       1.7270
   114.2400       1.6140       2.9600       2.9600       1.7320       1.7320
   115.3900       1.6430       3.0160       3.0160       1.7670       1.7670
   115.8200       1.6540       3.0370       3.0370       1.7810       1.7810
   116.7500       1.6770       3.0820       3.0820       1.8180       1.8180
   117.2000       1.6880       3.1040       3.1040       1.8370       1.8370
   120.4000       1.7670       3.2680       3.2680       1.9660       1.9660
   121.1500       1.7860       3.3220       3.3220       1.9960       1.9960
   121.7900       1.8010       3.3670       3.3670       2.0220       2.0220
   122.7000       1.8240       3.4320       3.4320       2.0580       2.0580
   123.5000       1.8430       3.4890       3.4890       2.0900       2.0900
   127.6500       1.9690       3.7830       3.7830       2.2670       2.2670
   129.8700       2.0380       3.9410       3.9410       2.3640       2.3640
   130.3000       2.0520       3.9710       3.9710       2.3810       2.3810
   131.0200       2.0740       4.0210       4.0210       2.4090       2.4090
   131.2100       2.0800       4.0350       4.0350       2.4160       2.4160
   136.2100       2.2330       4.3850       4.3850       2.6110       2.6110
   136.2800       2.2350       4.3900       4.3900       2.6140       2.6140
   136.3400       2.2370       4.3940       4.3940       2.6160       2.6160
   136.4500       2.2400       4.4010       4.4010       2.6210       2.6210
   136.4800       2.2410       4.4040       4.4040       2.6220       2.6220
   141.2000       2.2600       4.7300       4.7300       2.8200       2.8200
   144.2700       2.2420       4.9360       4.9360       2.9490       2.9490
   145.0400       2.2370       4.9880       4.9880       2.9820       2.9820
   148.4000       2.2170       5.2130       5.2130       3.1360       3.1360
   150.1000       2.2060       5.3270       5.3270       3.2150       3.2150
   152.1500       2.1940       5.4730       5.4730       3.3170       3.3170
   154.1800       2.1820       5.6170       5.6170       3.4190       3.4190
   157.7300       2.3630       5.8690       5.8690       3.5960       3.5960
   158.3700       2.4070       5.9140       5.9140       3.6280       3.6280
   159.9800       2.5160       6.0290       6.0290       3.7090       3.7090
   160.3700       2.5420       6.0550       6.0550       3.7290       3.7290
